조사서번호,화재발생년월일,읍면동,세부주소,대상(도로)명,지역대거리,지번동,지번리,도로명주소,위도,경도
'120102115833906,2012-01-02 10:23,임천면,'29-3 ,동식물시설(견사),0,임천면,군사리,,0,0
'120102231345696,2012-01-02 19:58,부여읍,'127-4 ,건축구조물(단독주택),0,부여읍,구교리,,0,0
'120103184904397,2012-01-03 17:40,규암면,'262-1 ,위락시설-유흥주점(베네치아),0,규암면,반산리,,0,0
'120105010934521,2012-01-04 22:59,임천면,'34-3 ,주거시설-단독주택,0,임천면,탑산리,탑사로 89-4,0,0
'120106035821671,2012-01-06 0:57,충화면,'224- ,주거시설-단독주택,0,충화면,만지리,,0,0
'120106175506945,2012-01-06 15:17,부여읍,'636-4 부여축협 사비지점,건축구조물(부여축협 사비지점),0,부여읍,쌍북리,성왕로 258,0,0
'120107234949699,2012-01-07 21:28,부여읍,'665- 번지,주거시설- 단독주택,0,부여읍,정동리,정동로83번길 50-6,0,0
'120111171847820,2012-01-11 16:00,홍산면,' - 보영목장 뒤산,기타- 야산,0,홍산면,홍양리,비홍로 39-40,0,0
'120114214726809,2012-01-14 13:34,충화면,'96- ,기타(대나무 ),0,충화면,만지리,,0,0
'120114215354394,2012-01-14 18:43,규암면,'652- ,기타(화목보일러 보온덮개),0,규암면,합송리,합송서로 68-5,0,0
'120117211005449,2012-01-17 18:35,은산면,'533-2 ,주거시설-단독주택,0,은산면,오번리,은북로 195,0,0
'120119095507604,2012-01-19 6:43,부여읍,"' - 구,금성공업사 내 부지",기타-쓰레기 소각,0,부여읍,쌍북리,,0,0
'120121134015016,2012-01-21 11:06,규암면,'161-1 ,주거시설-단독주택,0,규암면,수목리,호반로87번길 7-48,0,0
'120121164248558,2012-01-21 11:13,남면,'96- ,주거시설-단독주택,0,남면,삼용리,,0,0
'120122234058814,2012-01-22 21:21,세도면,'54- ,주거시설-단독주택,0,세도면,청송리,청송로 206-7,0,0
'120127035047042,2012-01-27 2:25,규암면,'252- ,건축구조물(우사),0,규암면,모리,충절로2631번길 34-8,0,0
'120129145236032,2012-01-29 13:15,은산면,'166-2 ,주거시설- 단독주택,0,은산면,대양리,충절로대양2길 96-7,0,0
'120130111213996,2012-01-30 10:02,규암면,'84- ,기타(비닐하우스_,0,규암면,내리,,0,0
'120130155403682,2012-01-30 14:13,부여읍,'596- ,기타,0,부여읍,쌍북리,,0,0
'120130160656188,2012-01-30 14:45,부여읍,'516-8 삼진빌라트 옆,기타(공터),0,부여읍,동남리,,0,0
'120201202446687,2012-02-01 18:18,외산면,'549- ,기타(전신주),0,외산면,문신리,문신로 13,0,0
'120202202450286,2012-02-02 18:46,구룡면,'33-3 ,창고(헛간),0,구룡면,용당리,부두로277번길 21-34,0,0
